"File","rdf:RDF - edm:ProvidedCHO - rdf:about","rdf:RDF - edm:ProvidedCHO - dc:type - skos:Concept - rdf:about","dc:type_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium - rdf:resource","dcterms:medium_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium","rdf:RDF - edm:ProvidedCHO - edmfp:technique - rdf:resource","edmfp:technique_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique","rdf:RDF - edm:ProvidedCHO - edmfp:technique - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description","rdf:RDF - edm:ProvidedCHO - dc:identifier","rdf:RDF - edm:ProvidedCHO - dc:title - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:title","rdf:RDF - edm:ProvidedCHO - edm:type","rdf:RDF - edm:ProvidedCHO - dcterms:created - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:created","rdf:RDF - ore:Aggregation - rdf:about","rdf:RDF - ore:Aggregation - edm:aggregatedCHO - rdf:resource","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:hasView - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownAt - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownBy - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:rights - rdf:resource"
"Item_34264614.xml","https://modemuze.nl/localID/europeana-fashion/ZM-17179","","http://vocab.getty.edu/aat/300238962","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Doopdeken met doorstik- en borduurwerk. De doopdeken is gemaakt van een naturelkleurige (Chinese) zijden damast. Het heeft een dunne vullaag en een lichtroze kunstzijden voering die in de twintigste eeuw is aangebracht. De deken is doorgestikt met stiksteken in een (in elkaar grijpende) krullenpatroon. Waar vier cirkels elkaar raken, wordt een bladmotief van vier bladeren gevormd, hierin is een nerf geborduurd. Er zijn bloemmotieven geborduurd met crèmekleurig garen met een kettingsteek, de bloemhartjes (?) worden gevormd van een cirkel in knoopsgaten-of festonsteek. De rand wordt van het middendeel gescheiden door rechte lijnen in kettingsteek. De rand heeft een ander patroon, kleinere bloemachtige krullen. Aan de buitenzijde een schulpmotief. De stof van boven- en onderkant is tegen elkaar ingeslagen en vastgezoomd, zoals gebruikelijk in Nederland. De lichtroze kunstzijden voering is in de twintigste eeuw aangebracht. Bij deze deken hoorde een mutsje met hetzelfde patroon. Mogelijk hoorde er een ook een bedjasje bij.","ZM-17179","nl","Doopdeken met doorstik- en borduurwerk","IMAGE","nl","1675/1699","localID/europeana-fashion/Aggregation_ZM-17179","localID/europeana-fashion/ZM-17179","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17179.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17179.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264614.xml","","","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264614.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264615.xml","https://modemuze.nl/localID/europeana-fashion/ZM-17363","","","","http://vocab.getty.edu/aat/300243430","wol","","","wol","","nl","nl","Tweekleurige hemdrok of jasje voor jongen / man van wollen damast, licht gerend model, dubbele sluiting met knopen aan de voorkant. Grijsblauw aan de buitenkant, crèmekleurige (lijf) en bruine (mouwen) voering. Dubbele sluiting middenvoor, kan zowel links als rechts gesloten worden. De mouw wordt gesloten met twee knopen en twee knoopsgaten in een mouwsplit. Aan de mouwsplitten en polsopening is een zogenaamde slijtkoord genaaid. De hals is doorgepit. Het materiaal is kamgaren, wol geweven in damastpatroon (in satijnbinding) gekalanderd. Deze stof wordt ook spiegeldamast genoemd, vanwege de glans en/of het spiegelbeeldig patroon. De voering van het lijf is van geruwde wol in effenbinding. De voering van de mouwen is van wol in keperbinding. De knopen zijn van zilver en koper/brons. Het hemdrok is geweven, handnaaiwerk (stiksteek, knoopsgatensteek doorpitten) koord op naaien.

Het patroon: twee ranken met bloemen die samenkomen in 1 centrale zeer grote bloem en daarna weer samenkomen in een iets kleinere bloem.","ZM-17363","nl","Hemdrok of jasje","IMAGE","nl","1750/1825","localID/europeana-fashion/Aggregation_ZM-17363","localID/europeana-fashion/ZM-17363","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17363.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17363.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264615.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","http://thesaurus.europeanafashion.eu/thesaurus/10351","","wol","","http://vocab.getty.edu/aat/300053642","geweven","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264615.xml","","","","","","","","http://vocab.getty.edu/aat/300053642","geweven","","","","","","","","","","","","","","","","","","","",""
"Item_34264616.xml","https://modemuze.nl/localID/europeana-fashion/ZM-17430","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Paars, gebloemd jak, een zogenaamde schootjak voor een meisje (meisjesjak). Het lijfje is middenvoor V-vormig ingerimpeld aan de onderkant. Aan de bovenkant is de stof ingerimpeld in de schouder. De mouw is strak aan de bovenkant met extra ruimte vanaf de elleboog, weer smal toelopend naar de pols. Het bovenlijf en de armen zijn gevoerd met linnen, de schoot niet. De naden zijn gepaspoileerd (versierd met tussen gestikte koordjes). Het jak sluit middenvoor aan de hals met een haak en een trensje. Ter hoogte van de boezem 16 cm geen sluiting, vervolgens zes haken en trensjes tot aan de taille. Het mouwsplit sluit met behulp van drie haken en trensjes. De schoot is achter over een breedte van 37 cm ingerimpeld, middenvoor glad. De weefbreedte van de stof is 64 cm. Katoendruk. Patroon van verticale, zwartwitte bladnerven in combinatie met roze/rode, witte bloemen met paarse en taupe blaadjes,afgewisseld met verticale bloem-en bladranken op paars witte ondergrond.","ZM-17430","nl","Paars gebloemde schootjak voor een meisje","IMAGE","nl","1840/1850","localID/europeana-fashion/Aggregation_ZM-17430","localID/europeana-fashion/ZM-17430","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17430.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17430.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264616.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10436","","","http://vocab.getty.edu/aat/300231565","textiel","","http://vocab.getty.edu/aat/300053642","geweven","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264616.xml","","","","","","","","http://vocab.getty.edu/aat/300053642","geweven","","","","","","","","","","","","","","","","","","","",""
"Item_34264617.xml","https://modemuze.nl/localID/europeana-fashion/ZM-17517","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Groene rok of wagd van wollen damast. Een uit negen banen stof bestaande wollen damasten rok in satijnbinding (achtschachts damast), ook wel spiegeldamast genoemd. De stof is gekalanderd. De ruimte in de taille is in een groot aantal, elkaar overlappende, diepe plooien verwerkt die vanuit de zijkant naar middenachter geplooid zijn. Het buikstuk  middenvoor is glad. Het split en de onderkant van de rok is afgewerkt met een (vierdraads) kloskoordje tegen het slijten. Het split is gevoerd met een brede wollen keperband.

De rok is vermaakt, opnieuw geplooid. Het split heeft oorspronkelijk aan de zijkant van de rok gezeten. De tailleband is niet origineel, maar een latere toevoeging (vervanging).","ZM-17517","nl","Groene rok of wagd van wollen damast","IMAGE","nl","1725/1775","localID/europeana-fashion/Aggregation_ZM-17517","localID/europeana-fashion/ZM-17517","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-11769.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-11769.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
