"File","rdf:RDF - edm:ProvidedCHO - rdf:about","dc:type_literal","rdf:RDF - edm:ProvidedCHO - dc:type - skos:Concept - rdf:about","rdf:RDF - edm:ProvidedCHO - dcterms:medium","rdf:RDF - edm:ProvidedCHO - dcterms:medium - rdf:resource","dcterms:medium_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique - rdf:resource","edmfp:technique_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique","rdf:RDF - edm:ProvidedCHO - dcterms:provenance","rdf:RDF - edm:ProvidedCHO - dc:date","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dc:creator - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dc:description - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description","rdf:RDF - edm:ProvidedCHO - dc:identifier","rdf:RDF - edm:ProvidedCHO - dc:title - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:title","rdf:RDF - edm:ProvidedCHO - edm:type","rdf:RDF - edm:ProvidedCHO - dcterms:created - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:created","rdf:RDF - edm:ProvidedCHO - mrel:dsr - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - mrel:dsr - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dcterms:spatial - edm:Place - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:spatial - edm:Place - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dcterms:isPartOf","rdf:RDF - edm:ProvidedCHO - mrel:spn - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - rdf:about","rdf:RDF - ore:Aggregation - edm:aggregatedCHO - rdf:resource","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:isShownAt - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:rights - rdf:resource","rdf:RDF - ore:Aggregation - edm:hasView - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownBy - edm:WebResource - rdf:about"
"22-11-18_13:54:06/Item_34559570.xml","https://modemuze.nl/localID/europeana-fashion/08465a=b","kleding","http://thesaurus.europeanafashion.eu/thesaurus/10001","katoen","","","","","gezeefdrukt","1993","1992","nl","Vrolijk, Maarten","Vrolijk, Maarten","nl","Twee ecrukleurige sweaters met lange mouwen en splitjes opzij, bedrukt (zeefdruk) met dessin van M. Vrolijk. Twee schilderachtige bloemen. (a) rood-geel-groen en zwarte lijnen, (b) blauw-oranje-groen met zwarte lijnen. L.o. gesigneerd. ","08465a=b","nl","Sweatshirt met bloemenopdruk","IMAGE","nl","1992","nl","ontwerper","nl","Amsterdam","Overspel? De relatie tussen kunst en vormgeving","","localID/europeana-fashion/Aggregation_08465a=b","localID/europeana-fashion/08465a=b","nl","TextielMuseum","https://textielmuseum.nl/collectie/objecten?diw-id=brabantcloud_textielmuseum-objecten_08465a=b","http://www.europeanafashion.eu/","Europeana Fashion","http://rightsstatements.org/vocab/InC/1.0/","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=reg/08465a=b.jpg","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=reg/08465a=b.jpg"
"22-11-18_13:54:06/Item_34559570.xml","","bovenkleding","http://thesaurus.europeanafashion.eu/thesaurus/10002","verf","","","http://thesaurus.europeanafashion.eu/thesaurus/10419","","gezeefdrukt","opdracht","","nl","Textielmuseum, Nederlands","Textielmuseum, Nederlands","","","","","","","","","nl","opdrachtgever/uitvoerder","nl","Tilburg","Overspel? De relatie tussen kunst en vormgeving","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559570.xml","","trui","http://thesaurus.europeanafashion.eu/thesaurus/10026","katoen","http://thesaurus.europeanafashion.eu/thesaurus/10354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559570.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10001","verf","http://thesaurus.europeanafashion.eu/thesaurus/10602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559570.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559570.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559571.xml","https://modemuze.nl/localID/europeana-fashion/BK0062","kledingaccessoire","http://thesaurus.europeanafashion.eu/thesaurus/10132","satijn","","","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300247923","gevouwen","1986","1985","nl","Kessler, Beppe","Kessler, Beppe","nl","Halssieraad van satijn en kunstzijde, zwart/wit en rood, gevouwen, geregen en gerafeld. ","BK0062","nl","'Vosje (halssieraad)'","IMAGE","nl","1985","","","","","Overspel? De relatie tussen kunst en vormgeving","","localID/europeana-fashion/Aggregation_BK0062","localID/europeana-fashion/BK0062","nl","TextielMuseum","https://textielmuseum.nl/collectie/objecten?diw-id=brabantcloud_textielmuseum-objecten_BK0062","http://www.europeanafashion.eu/","Europeana Fashion","http://rightsstatements.org/vocab/InC/1.0/","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=reg/BK0062.JPG","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=reg/BK0062.JPG"
"22-11-18_13:54:06/Item_34559571.xml","","sieraad","http://thesaurus.europeanafashion.eu/thesaurus/10152","kunstzijde","","","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300053659","geregen","aankoop","","","","","","","","","","","","","","","","","Overspel? De relatie tussen kunst en vormgeving","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559571.xml","","halssieraad","http://thesaurus.europeanafashion.eu/thesaurus/10162","satijn","","","","","gerafeld","subsidie WVC","","","","","","","","","","","","","","","","","Body Jewels","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559571.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10132","kunstzijde","http://thesaurus.europeanafashion.eu/thesaurus/10361","","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300247923","gevouwen","","","","","","","","","","","","","","","","","","Eigendraads. Beppe Kessler, 1980-2003","","","","","","","","","","",""
