uri,type
"http://data.collectienederland.nl/resource/document/mauritshuis/99","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/177","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/97","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/95","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/93","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/91","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/28","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/26","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/24","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/239","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/237","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/235","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/233","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/222","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/22","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/20","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/173","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/171","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/108","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/106","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/104","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/100","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/61","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/58","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/54","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/50","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/47","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/43","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/31","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/274","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/270","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/248","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/244","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/240","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/226","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/209","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/201","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/17","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/158","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/143","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/136","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/132","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/13","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/129","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/125","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/121","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/72","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/69","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/65","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/44","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/256","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/255","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/253","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/250","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/219","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/217","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/214","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/212","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/211","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/199","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/198","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/196","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/160","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/154","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/150","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/147","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/88","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/82","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/79","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/77","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/71","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/5","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/46","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/35","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/33","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/3","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/220","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/206","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/203","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/168","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/166","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/157","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/155","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/124","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/119","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/113","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/96","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/85","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/8","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/63","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/52","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/49","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/38","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/30","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/272","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/27","painting"
"http://data.collectienederland.nl/resource/document/mauritshuis/269","painting"
