uri,creators
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00000429","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001423","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001424","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001426","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001428","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001431","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001432","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000108","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000110","Corneille"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000094","Golden, Daan van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00000205","Toorop, Jan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000012","Appel, Karel"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000016","Appel, Karel"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000028.1-2","Appel, Karel"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000035","Appel, Karel"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001382","Elburg, Jan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001446","Rooskens, Anton"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001453","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001455","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001456","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001462","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001464","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001480","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001481","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001527*","Lucebert"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000458","Couzijn, Wessel"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/O-00000106","Armando"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000812","Merendonk, Jos van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001718","Schoonhoven, Jan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001719","Schoonhoven, Jan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000800.1-2.1","Berghuis, Jaap"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000800.1-2.2","Berghuis, Jaap"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00002416","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00002579","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002018","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002022","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002023","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002028","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002029","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002030","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002031","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002183","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002761","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002762","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002763","Egberts, Otto"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0567","Jarram, Nour-Eddine"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0568","Jarram, Nour-Eddine"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000439","Bogart, Bram"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000245.1-2.2","Verdijk, Gerard"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000833","Gaag, Lotti van der"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001276","Gaag, Lotti van der"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0000.1-2","Claassen, Johan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0090","Claassen, Johan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0092","Claassen, Johan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0094.1-2","Claassen, Johan"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0017","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0019","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0020","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0021","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0022.1-3","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0023","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0024","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0025.1-3","Arkel, Dick van"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0027.1-8","Arago, Riera I"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0028.1-8","Arago, Riera I"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0040","Bade, David"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0046","Bade, David"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0048","Ben-Gal, Avner"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0054","Beekman, Merina"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0067","Bouman, Margreet"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0068","Bouman, Margreet"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0069","Bouman, Margreet"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0074","Brusse, Mark"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0075","Brusse, Mark"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0076","Brusse, Mark"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0077","Brusse, Mark"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0078","Brusse, Mark"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0079","Brusse, Mark"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0080","Brusse, Mark"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0086","Breedveld, Marian"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0087","Breedveld, Marian"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0088","Broek, Hans"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0106","Drissen, Paul"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0107","Drissen, Paul"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0108","Drissen, Paul"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0109","Drissen, Paul"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0110","Drissen, Paul"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0123","Frik, Helen"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0125","Frik, Helen"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0128","Frik, Helen"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0129","Frik, Helen"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0137","Goede de, Kees"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0173","Gunn, Reggy"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0174","Gunn, Reggy"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0175","Harvey, Claire"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0176.1-4.1","Harvey, Claire"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0176.1-4.2","Harvey, Claire"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0176.1-4.3","Harvey, Claire"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0176.1-4.4","Harvey, Claire"
