"uri","type","aat_label","aat_uri"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002037","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002334","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002332","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002320","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002319","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000895","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000314","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000030","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000017","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000014","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002342.1-3.1","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002329","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000555","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002340","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000897","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000038","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000026.1-2","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000902","gouache","gouache","http://vocab.getty.edu/aat/300404215"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000326","gouache","gouache","http://vocab.getty.edu/aat/300404215"
