"uri","type","aat_label","aat_uri"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1389","textile, wood","textiles (visual works)","http://vocab.getty.edu/aat/300014063"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1391","textile, wood","textiles (visual works)","http://vocab.getty.edu/aat/300014063"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1528","textile, wood","textiles (visual works)","http://vocab.getty.edu/aat/300014063"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1665","textile, wood","textiles (visual works)","http://vocab.getty.edu/aat/300014063"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/691","textile, wood","textiles (visual works)","http://vocab.getty.edu/aat/300014063"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/690","textile, wood","textiles (visual works)","http://vocab.getty.edu/aat/300014063"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1389","textiel, hout","textile materials","http://vocab.getty.edu/aat/300231565"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1391","textiel, hout","textile materials","http://vocab.getty.edu/aat/300231565"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1528","textiel, hout","textile materials","http://vocab.getty.edu/aat/300231565"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1665","textiel, hout","textile materials","http://vocab.getty.edu/aat/300231565"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/691","textiel, hout","textile materials","http://vocab.getty.edu/aat/300231565"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/690","textiel, hout","textile materials","http://vocab.getty.edu/aat/300231565"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1387","latex on canvas","latex paint","http://vocab.getty.edu/aat/300015054"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1387","latex op doek","latex op doek",""
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1385","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1383","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1381","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/104","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1386","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1384","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1382","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1380","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/103","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1512","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1835","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1836","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2094","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2396","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2397","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2398","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2972","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/399","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/398","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/583","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/622","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/479","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/838","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/65","gouache on paper","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1385","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1383","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1381","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/104","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1386","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1384","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1382","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1380","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/103","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1512","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1835","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1836","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2094","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2396","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2397","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2398","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2972","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3376","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3414","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3375","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/399","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/398","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/583","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/622","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/479","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/838","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/65","gouache op papier","gouaches (paintings)","http://vocab.getty.edu/aat/300078928"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1318","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1316","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1314","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1312","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1394","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1346","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1342","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1335","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1331","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1330","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1327","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1325","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1319","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1344","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1333","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1322","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1393","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1347","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1345","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1343","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1341","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1328","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1324","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1320","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1317","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1313","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1395","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1392","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1340","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1337","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1334","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1332","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1329","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1326","linocut on paper","linocuts (prints)","http://vocab.getty.edu/aat/300041393"
