"uri","type","aat_label","aat_uri"
"http://data.collectienederland.nl/resource/document/mauritshuis/99","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/177","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/97","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/95","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/93","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/91","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/28","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/26","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/24","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/239","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/237","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/235","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/233","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/222","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/22","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/20","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/173","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/171","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/108","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/106","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/104","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/100","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/61","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/58","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/54","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/50","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/47","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/43","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/31","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/274","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/270","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/248","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/244","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/240","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/226","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/209","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/201","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/17","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/158","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/143","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/136","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/132","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/13","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/129","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/mauritshuis/125","painting","paintings (visual works)","http://vocab.getty.edu/aat/300033618"
