"uri","type","aat_label","aat_uri"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0269","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0267","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0266","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0258","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0250","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0249","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0247","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0245","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0116","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0056","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0050","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0049","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0041","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0038","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0035","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0029","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0024","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0022","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0017","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0011","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0007","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0005","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0004","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0272","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0270","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0264","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0251","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0246","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0122","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0119","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0059","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0053","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0051","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0040","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0018","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0016","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0002","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0265","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0259","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0254","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0252","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0248","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0124","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0123","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0121","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0120","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0117","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0042","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0039","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0025","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0003","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0001","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0271","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0268","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0257","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0020","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0006","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0482","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0480","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0477","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0280","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0476","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0278","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0275","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0486","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0484","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0483","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0481","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0478","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0279","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1246","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1517","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1513","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1511","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1462","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1275","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1518","beeld","beeld",""
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1512","beeld","beeld",""
