"uri","type","aat_label","aat_uri"
"http://data.collectienederland.nl/resource/document/rijksakademie/0596","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0518","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0516","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0514","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0512","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0329","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0325","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0276","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0272","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0270","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0235","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0147","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0102","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0089","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0085","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0083","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0012","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0005","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0523","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0521","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0505","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0491","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0433","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0411","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0394","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0390","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0377","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0373","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0336","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0321","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0267","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0263","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0246","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0239","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0228","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0226","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0209","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0180","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0150","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0108","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0104","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0098","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0014","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/1692","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0539","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0536","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0522","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0508","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0424","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0415","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0404","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0392","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0383","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
