uri,creators,rkdartists_label,rkdartists_uri
"http://data.collectienederland.nl/resource/document/mauritshuis/1","Jacob Cornelisz van Oostsanen","Jacob Cornelisz van Oostsanen","https://data.rkd.nl/artists/18413"
"http://data.collectienederland.nl/resource/document/mauritshuis/100","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/101","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/226","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/507","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/749","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/750","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/96","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/97","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/98","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/99","Michiel Jansz van Mierevelt","Michiel Jansz van Mierevelt","https://data.rkd.nl/artists/56017"
"http://data.collectienederland.nl/resource/document/mauritshuis/1031","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/227","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/230","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/235","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/244","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/353","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/694","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/695","Anoniem (Zuidelijke Nederlanden)","Anoniem (Zuidelijke Nederlanden)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/1031","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/227","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/230","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/235","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/244","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/353","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/694","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/695","Anonymous (Southern Netherlands)","Anonymous (Southern Netherlands)",""
"http://data.collectienederland.nl/resource/document/mauritshuis/1032","Frans Hals","Frans Hals","https://data.rkd.nl/artists/35550"
"http://data.collectienederland.nl/resource/document/mauritshuis/459","Frans Hals","Frans Hals","https://data.rkd.nl/artists/35550"
"http://data.collectienederland.nl/resource/document/mauritshuis/460","Frans Hals","Frans Hals","https://data.rkd.nl/artists/35550"
"http://data.collectienederland.nl/resource/document/mauritshuis/618","Frans Hals","Frans Hals","https://data.rkd.nl/artists/35550"
"http://data.collectienederland.nl/resource/document/mauritshuis/928","Frans Hals","Frans Hals","https://data.rkd.nl/artists/35550"
"http://data.collectienederland.nl/resource/document/mauritshuis/1033","Hercules Seghers","Hercules Seghers","https://data.rkd.nl/artists/71801"
"http://data.collectienederland.nl/resource/document/mauritshuis/1034","Cornelis Troost","Cornelis Troost","https://data.rkd.nl/artists/78260"
"http://data.collectienederland.nl/resource/document/mauritshuis/1068","Cornelis Troost","Cornelis Troost","https://data.rkd.nl/artists/78260"
"http://data.collectienederland.nl/resource/document/mauritshuis/1039","Jan Hackaert","Jan Hackaert","https://data.rkd.nl/artists/35078"
"http://data.collectienederland.nl/resource/document/mauritshuis/104","Gerrit van Honthorst","Gerrit van Honthorst","https://data.rkd.nl/artists/39445"
"http://data.collectienederland.nl/resource/document/mauritshuis/1107","Gerrit van Honthorst","Gerrit van Honthorst","https://data.rkd.nl/artists/39445"
"http://data.collectienederland.nl/resource/document/mauritshuis/428","Gerrit van Honthorst","Gerrit van Honthorst","https://data.rkd.nl/artists/39445"
"http://data.collectienederland.nl/resource/document/mauritshuis/430","Gerrit van Honthorst","Gerrit van Honthorst","https://data.rkd.nl/artists/39445"
"http://data.collectienederland.nl/resource/document/mauritshuis/63","Gerrit van Honthorst","Gerrit van Honthorst","https://data.rkd.nl/artists/39445"
"http://data.collectienederland.nl/resource/document/mauritshuis/64","Gerrit van Honthorst","Gerrit van Honthorst","https://data.rkd.nl/artists/39445"
"http://data.collectienederland.nl/resource/document/mauritshuis/65","Gerrit van Honthorst","Gerrit van Honthorst","https://data.rkd.nl/artists/39445"
"http://data.collectienederland.nl/resource/document/mauritshuis/1042","Mattheus Terwesten","Mattheus Terwesten","https://data.rkd.nl/artists/76874"
"http://data.collectienederland.nl/resource/document/mauritshuis/1043","Hans Bol","Hans Bol","https://data.rkd.nl/artists/10081"
"http://data.collectienederland.nl/resource/document/mauritshuis/1044","Salomon van Ruysdael","Salomon van Ruysdael","https://data.rkd.nl/artists/69066"
"http://data.collectienederland.nl/resource/document/mauritshuis/1115","Salomon van Ruysdael","Salomon van Ruysdael","https://data.rkd.nl/artists/69066"
"http://data.collectienederland.nl/resource/document/mauritshuis/1117","Salomon van Ruysdael","Salomon van Ruysdael","https://data.rkd.nl/artists/69066"
"http://data.collectienederland.nl/resource/document/mauritshuis/1128","Salomon van Ruysdael","Salomon van Ruysdael","https://data.rkd.nl/artists/69066"
"http://data.collectienederland.nl/resource/document/mauritshuis/699","Salomon van Ruysdael","Salomon van Ruysdael","https://data.rkd.nl/artists/69066"
"http://data.collectienederland.nl/resource/document/mauritshuis/738","Salomon van Ruysdael","Salomon van Ruysdael","https://data.rkd.nl/artists/69066"
"http://data.collectienederland.nl/resource/document/mauritshuis/941","Salomon van Ruysdael","Salomon van Ruysdael","https://data.rkd.nl/artists/69066"
"http://data.collectienederland.nl/resource/document/mauritshuis/1045","Pieter van Anraadt","Pieter van Anraadt","https://data.rkd.nl/artists/1989"
"http://data.collectienederland.nl/resource/document/mauritshuis/1046","Abraham Bloemaert","Abraham Bloemaert","https://data.rkd.nl/artists/9120"
"http://data.collectienederland.nl/resource/document/mauritshuis/16","Abraham Bloemaert","Abraham Bloemaert","https://data.rkd.nl/artists/9120"
"http://data.collectienederland.nl/resource/document/mauritshuis/17","Abraham Bloemaert","Abraham Bloemaert","https://data.rkd.nl/artists/9120"
"http://data.collectienederland.nl/resource/document/mauritshuis/1047","Arent de Gelder","Arent de Gelder","https://data.rkd.nl/artists/30757"
