uri,type
"http://data.collectienederland.nl/resource/document/museum-belvedere/1826","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1639","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1075","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0865","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0584","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0582","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0455","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0139","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0002","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1817","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1741","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1738","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1640","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1459","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1292","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1289","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1086","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0899","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0869","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0815","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0637","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0423","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0409","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0384","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0315","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0236","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0227","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0225","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0008","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0006","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1816","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1789","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1283","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1090","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1089","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1087","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1081","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0938","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0879","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0818","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0816","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0807","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0798","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0697","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0696","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0167","schilderij"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0157","schilderij"
