uri,creators
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0118","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0464","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0465","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0466","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0467","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0468","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0469","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0793","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1661","Mens, René (1943)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0747","Maagendans, Jacques (1932)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0843","Bosdriesz, Christel (1946)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0012","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0013","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0027","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0087","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0088","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0089","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0090","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0091","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0092","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0093","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0094","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0095","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0096","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0097","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0098","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0099","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0100","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0101","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0398","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0401","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0404","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0407","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0408","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0409","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0411","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0412","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0413","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0414","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0415","Janssen, Carel (1950)"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G1314","Janssen, Carel (1950)"
