uri,creators
"http://data.collectienederland.nl/resource/document/rijksakademie/0934","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/0936","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/0937","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/0938","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/1096","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/1485","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/4031","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/4033","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/4098","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/5685","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/6346","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/7144","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/7145","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/7146","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/7147","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/7148","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8173","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8177","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8178","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8179","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8196","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8197","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8198","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8199","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8200","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8201","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8202","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8203","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8204","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8205","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/S156","onbekend"
"http://data.collectienederland.nl/resource/document/rijksakademie/8041","Hubert Levigne"
"http://data.collectienederland.nl/resource/document/rijksakademie/8086","Hubert Levigne"
"http://data.collectienederland.nl/resource/document/rijksakademie/1092","Willem B. Tholen"
"http://data.collectienederland.nl/resource/document/rijksakademie/1081","Marie Cremers"
"http://data.collectienederland.nl/resource/document/rijksakademie/0927","Willem Matthijs Maris Jbzn."
"http://data.collectienederland.nl/resource/document/rijksakademie/0753","Ro Mogendorff"
"http://data.collectienederland.nl/resource/document/rijksakademie/0719","Jaap (Jacob) Bouhuys"
"http://data.collectienederland.nl/resource/document/rijksakademie/8213","Jaap (Jacob) Bouhuys"
"http://data.collectienederland.nl/resource/document/rijksakademie/8214","Jaap (Jacob) Bouhuys"
