uri,creators
"http://data.collectienederland.nl/resource/document/van-abbe-museum/11","Karel Appel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1493","Karel Appel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/4","Karel Appel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/5","Karel Appel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/6","Karel Appel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/7","Karel Appel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/94","Theo van Doesburg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/101","Victor Dolphijn"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/190","Ellsworth Kelly"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/102","Jacob Dooyewaard"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/103","Willem Dooyewaard"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/104","Willem Dooyewaard"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/777","Gerhard Richter"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/892","Gerhard Richter"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/105","Jean Dubuffet"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/108","Jean Dubuffet"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/169","Robert Indiana"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1540","Georg Baselitz"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/811","Georg Baselitz"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/871","Georg Baselitz"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/894","Georg Baselitz"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1080","Jan Stekelenburg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/456","Jan Stekelenburg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1089","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1090","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1091","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1092","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1093","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1094","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1095","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1096","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1097","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1098","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1099","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1100","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1101","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1102","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1103","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1104","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1105","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1106","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/710","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/754","Daniel Buren"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1113","Markus Lüpertz"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1538","Markus Lüpertz"
