filename,width,height,orientation
104,1000,941,landscape
11,767,1000,Portrait
111,1000,766,landscape
112,1000,789,landscape
113,1000,800,landscape
114,803,1000,Portrait
117,1000,751,landscape
118,1000,853,landscape
119,1000,841,landscape
12,631,1000,Portrait
120,1000,832,landscape
128,1000,816,landscape
129,1000,925,landscape
137,698,1000,Portrait
138,755,1000,Portrait
14,903,1000,Portrait
143,1000,827,landscape
145,1000,783,landscape
147,1000,804,landscape
148,1000,750,landscape
149,1000,744,landscape
151,1000,753,landscape
155,878,1000,Portrait
16,966,1000,Portrait
160,1000,811,landscape
161,1000,826,landscape
166,1000,753,landscape
167,1000,797,landscape
168,1000,794,landscape
17,1000,845,landscape
170,836,1000,Portrait
176,1000,879,landscape
177,1000,685,landscape
19,1000,850,landscape
196,608,1000,Portrait
198,769,1000,Portrait
2,1000,772,landscape
20,856,1000,Portrait
200,860,1000,Portrait
201,847,1000,Portrait
204,1000,757,landscape
21,744,1000,Portrait
218,819,1000,Portrait
219,529,1000,Portrait
223,1000,760,landscape
225,1000,693,landscape
233,1000,652,landscape
239,1000,877,landscape
240,1000,887,landscape
241,1000,834,landscape
242,1000,878,landscape
245,833,1000,Portrait
25,802,1000,Portrait
250,1000,704,landscape
252,1000,728,landscape
253,645,1000,Portrait
256,1000,803,landscape
257,1000,856,landscape
258,528,1000,Portrait
264,608,1000,Portrait
266,705,1000,Portrait
283,745,1000,Portrait
284,717,1000,Portrait
285,732,1000,Portrait
292,733,1000,Portrait
293,724,1000,Portrait
316,1000,662,landscape
334,911,1000,Portrait
335,917,1000,Portrait
392,658,1000,Portrait
395,642,1000,Portrait
406,928,1000,Portrait
425,1000,838,landscape
429,1000,914,landscape
430,1000,799,landscape
437,398,1000,Portrait
45,622,1000,Portrait
461,1000,765,landscape
462,1000,705,landscape
463,1000,707,landscape
473,1000,771,landscape
49,789,1000,Portrait
5,1000,730,landscape
54,1000,829,landscape
542,599,1000,Portrait
548,1000,869,landscape
558,721,1000,Portrait
559,1000,758,landscape
562,1000,765,landscape
57,848,1000,Portrait
572,808,1000,Portrait
58,1000,651,landscape
585,1000,853,landscape
595,1000,728,landscape
596,670,1000,Portrait
598,1000,803,landscape
605,1000,655,landscape
607,1000,681,landscape
61,847,1000,Portrait
613,737,1000,Portrait
615,648,1000,Portrait
62,844,1000,Portrait
621,789,1000,Portrait
656,806,1000,Portrait
670,1000,845,landscape
671,712,1000,Portrait
672,709,1000,Portrait
673,815,1000,Portrait
676,1000,766,landscape
685,1000,809,landscape
705,1000,868,landscape
707,1000,719,landscape
717,1000,785,landscape
718,1000,781,landscape
729,1000,834,landscape
730,1000,832,landscape
731,565,1000,Portrait
732,717,1000,Portrait
733,719,1000,Portrait
734,719,1000,Portrait
77,1000,732,landscape
82,725,1000,Portrait
90,1000,817,landscape
92,833,1000,Portrait
93,1000,809,landscape
94,1000,741,landscape
