filename,width,height,orientation
0002,600,791,Portrait
0003,781,600,landscape
0006,772,600,landscape
0008,600,747,Portrait
0010,564,800,Portrait
0011,600,799,Portrait
0012,755,600,landscape
0013,600,761,Portrait
0015,600,753,Portrait
0017,800,570,landscape
0018,600,745,Portrait
0019,506,800,Portrait
0020,665,600,landscape
0028,682,600,landscape
0029,600,766,Portrait
0030,800,458,landscape
0033,649,600,landscape
0034,600,709,Portrait
0035,600,703,Portrait
0036,552,800,Portrait
0037,530,800,Portrait
0039,800,577,landscape
0040,563,800,Portrait
0042,580,800,Portrait
0043,161,800,Portrait
0044,171,800,Portrait
0046,600,799,Portrait
0050,600,727,Portrait
0051,523,800,Portrait
0052,600,751,Portrait
0056,638,600,landscape
0059,589,800,Portrait
0060,600,602,Portrait
0061,598,800,Portrait
0062,600,786,Portrait
0063,408,800,Portrait
0065,600,688,Portrait
0066,680,600,landscape
0067,600,708,Portrait
0068,600,673,Portrait
0069,765,600,landscape
0070,584,800,Portrait
0071,684,600,landscape
0072,800,334,landscape
0073,609,600,landscape
0074,600,781,Portrait
0075,711,600,landscape
0076,580,800,Portrait
0077,800,494,landscape
0078,625,600,landscape
0079,800,413,landscape
0080,600,623,Portrait
0081,604,600,landscape
0082,739,600,landscape
0083,600,605,Portrait
0084,602,600,landscape
0085,601,600,landscape
0087,600,764,Portrait
0089,800,397,landscape
0091,600,745,Portrait
0092,600,645,Portrait
0093,541,800,Portrait
0094,600,733,Portrait
0095,512,800,Portrait
0096,707,600,landscape
0098,534,800,Portrait
0100,800,505,landscape
0101,600,727,Portrait
0105,800,541,landscape
0106,800,534,landscape
0108,531,800,Portrait
0109,543,800,Portrait
0111,800,484,landscape
0116,473,800,Portrait
0117,800,600,landscape
0118,636,600,landscape
0119,600,683,Portrait
0121,625,600,landscape
0128,645,600,landscape
0129,710,600,landscape
0131,743,600,landscape
0132,600,653,Portrait
0133,644,600,landscape
0134,600,789,Portrait
0135,739,600,landscape
0136,600,692,Portrait
0139,600,685,Portrait
0140,503,800,Portrait
0147,600,784,Portrait
0148,629,600,landscape
0154,600,764,Portrait
0155,734,600,landscape
0156,748,600,landscape
0166,600,791,Portrait
0167,800,476,landscape
0168,600,606,Portrait
0171,695,600,landscape
0174,520,800,Portrait
0178,657,600,landscape
0180,600,723,Portrait
0183,595,800,Portrait
0184,566,800,Portrait
0188,554,800,Portrait
0189,600,760,Portrait
0190,600,725,Portrait
0191,800,558,landscape
0205,770,600,landscape
0208,600,691,Portrait
0209,773,600,landscape
0210,755,600,landscape
0215,800,579,landscape
0216,535,800,Portrait
0217,600,755,Portrait
0218,600,754,Portrait
0221,504,800,Portrait
0222,600,797,Portrait
0223,800,589,landscape
0224,600,759,Portrait
0225,469,800,Portrait
0226,800,472,landscape
0227,600,605,Portrait
0234,573,800,Portrait
0236,758,600,landscape
0237,637,600,landscape
0238,600,631,Portrait
0239,600,756,Portrait
0240,600,773,Portrait
0242,600,766,Portrait
0243,449,800,Portrait
0246,562,800,Portrait
0248,743,600,landscape
0250,597,800,Portrait
0251,800,555,landscape
0252,354,800,Portrait
0255,600,697,Portrait
0258,564,800,Portrait
0265,600,748,Portrait
0267,600,603,Portrait
0268,487,800,Portrait
0269,600,785,Portrait
0270,600,677,Portrait
0315,800,499,landscape
0325,476,800,Portrait
0338,732,600,landscape
0340,597,800,Portrait
0341,600,735,Portrait
0345,765,600,landscape
0346,800,523,landscape
0352,600,745,Portrait
0365,600,743,Portrait
0366,600,605,Portrait
0367,600,775,Portrait
0368,600,741,Portrait
0369,800,559,landscape
0384,600,784,Portrait
0386,669,600,landscape
0387,600,764,Portrait
0393,605,600,landscape
0394,600,682,Portrait
0395,596,800,Portrait
0396,600,791,Portrait
0397,595,800,Portrait
0398,600,613,Portrait
0399,492,800,Portrait
0400,600,692,Portrait
0401,600,743,Portrait
0402,600,623,Portrait
0403,581,800,Portrait
0404,600,685,Portrait
0405,600,692,Portrait
0411,621,600,landscape
0413,773,600,landscape
0418,476,800,Portrait
0424,590,800,Portrait
0429,600,735,Portrait
0433,600,720,Portrait
0438,745,600,landscape
0447,599,800,Portrait
0460,796,600,landscape
0463,498,800,Portrait
0472,733,600,landscape
0474,600,649,Portrait
0476,600,728,Portrait
0484,741,600,landscape
0486,600,682,Portrait
0489,600,755,Portrait
0491,600,656,Portrait
0505,600,676,Portrait
0508,800,534,landscape
0510,600,637,Portrait
0527,603,600,landscape
0532,800,521,landscape
0533,800,575,landscape
0535,540,800,Portrait
0538,731,600,landscape
0543,795,600,landscape
0545,800,486,landscape
0561,600,784,Portrait
0564,709,600,landscape
0567,600,747,Portrait
0568,515,800,Portrait
0569,600,706,Portrait
0571,597,800,Portrait
0578,800,564,landscape
0579,800,559,landscape
0580,800,592,landscape
0581,497,800,Portrait
0582,600,766,Portrait
0583,600,748,Portrait
0586,581,800,Portrait
0590,600,782,Portrait
0604,579,800,Portrait
0607,529,800,Portrait
0608,800,573,landscape
0609,600,719,Portrait
0637,800,571,landscape
0645,600,610,Portrait
0646,600,770,Portrait
