filename,width,height,orientation
0731,400,337,landscape
0753,400,279,landscape
0775,400,231,landscape
0876,400,328,landscape
0888,255,400,Portrait
0917,400,311,landscape
0918,400,296,landscape
0920,287,400,Portrait
0924,307,400,Portrait
0927,290,400,Portrait
0928,400,268,landscape
0929,400,281,landscape
0930,400,316,landscape
0932,400,293,landscape
0933,324,400,Portrait
0934,311,400,Portrait
0936,315,400,Portrait
0937,283,400,Portrait
0938,152,400,Portrait
0939,319,400,Portrait
0956,400,314,landscape
0974A,400,286,landscape
0974B,400,269,landscape
0974C,400,278,landscape
0974D,231,400,Portrait
1081,400,286,landscape
1091,244,400,Portrait
1101,251,400,Portrait
1108,400,320,landscape
1125,266,400,Portrait
1130,400,349,landscape
1135,400,243,landscape
1136,400,300,landscape
1137,400,237,landscape
1158,290,400,Portrait
1194,248,400,Portrait
3079,400,318,landscape
3178,400,255,landscape
3179,351,400,Portrait
3451,305,400,Portrait
3627,400,305,landscape
3627A,400,298,landscape
3627B,400,300,landscape
3627C,400,301,landscape
3627D,400,274,landscape
3627E,400,289,landscape
3627F,400,285,landscape
3627G,400,287,landscape
3627H,400,301,landscape
3627I,400,305,landscape
3627J,400,302,landscape
3627K,400,297,landscape
3627L,400,300,landscape
3627M,400,283,landscape
3627N,400,291,landscape
3627O,400,287,landscape
4098,190,400,Portrait
4101,318,400,Portrait
5196,400,346,landscape
6007A,400,350,landscape
6007B,400,357,landscape
6007C,400,350,landscape
6225,400,289,landscape
6682,291,400,Portrait
6683,257,400,Portrait
7025,150,400,Portrait
8041,400,237,landscape
8086,309,400,Portrait
9114,248,400,Portrait
9115,308,400,Portrait
9139,400,232,landscape
9144,400,309,landscape
9152,400,340,landscape
9153,311,400,Portrait
9154,299,400,Portrait
9157,400,350,landscape
9262,314,400,Portrait
9263,400,317,landscape
9550,400,195,landscape
9551,400,196,landscape
9560,266,400,Portrait
9599,280,400,Portrait
9605,245,400,Portrait
9608,284,400,Portrait
9609,287,400,Portrait
9610,286,400,Portrait
9612,305,400,Portrait
9618,253,400,Portrait
9619,240,400,Portrait
S006,498,400,landscape
S016,400,313,landscape
S058,341,400,Portrait
S059,400,395,landscape
S064,342,400,Portrait
S155,400,239,landscape
