filename,width,height,orientation
0002,496,800,Portrait
0039-juiste afbeelding,621,800,Portrait
0051-01,800,635,landscape
0054-01,800,327,landscape
0058-01,720,800,Portrait
0061-03,800,756,landscape
0073-01,622,800,Portrait
0084-01,800,548,landscape
0108-01,800,644,landscape
0115-01,800,627,landscape
0119,723,800,Portrait
0124-01,563,800,Portrait
0134-01,800,656,landscape
0190,800,797,landscape
0194-01,534,800,Portrait
0199,800,607,landscape
0211,800,551,landscape
0343-00,800,674,landscape
0379,600,800,Portrait
0381-01,622,800,Portrait
0385-01,800,638,landscape
0390-01,800,632,landscape
0391,602,800,Portrait
0437-01,636,800,Portrait
0445-01,596,800,Portrait
0446-01,800,566,landscape
0448-01,480,800,Portrait
0449-01,800,661,landscape
0458-01,800,787,landscape
0487-01,800,671,landscape
0508-02,800,567,landscape
0509-01,602,800,Portrait
0701-02,618,800,Portrait
0702-02,621,800,Portrait
0710,800,563,landscape
0811,800,632,landscape
0835,586,800,Portrait
0878-01,633,800,Portrait
0892-01,800,638,landscape
0900-01,574,800,Portrait
0911-01,787,800,Portrait
1456,800,661,landscape
1457-01,800,670,landscape
1463-01,800,630,landscape
1514-01,566,800,Portrait
1788,632,800,Portrait
1789,598,800,Portrait
1911-01,795,800,Portrait
2136,641,800,Portrait
3367,800,628,landscape
3368,800,580,landscape
3404,800,450,landscape
