filename,width,height,orientation
0022,800,646,landscape
0036,800,718,landscape
0045,585,800,Portrait
0052,800,459,landscape
0064,800,747,landscape
0072,500,800,Portrait
0094,800,792,landscape
0128,800,438,landscape
0168,679,800,Portrait
0169,794,800,Portrait
0177,800,616,landscape
0201,549,800,Portrait
0315,431,800,Portrait
0318,800,537,landscape
0327,800,606,landscape
0358,572,800,Portrait
0359,574,800,Portrait
0383,615,800,Portrait
0407,402,800,Portrait
0426,800,632,landscape
0436,800,695,landscape
0438,688,800,Portrait
0450,800,618,landscape
0472,800,649,landscape
0479,771,800,Portrait
0738,800,703,landscape
0813,800,529,landscape
0826,622,800,Portrait
0891,761,800,Portrait
0901,532,800,Portrait
1113,558,800,Portrait
1153,585,800,Portrait
1403,469,800,Portrait
1472,587,800,Portrait
1476,800,646,landscape
1513,600,800,Portrait
1519,800,535,landscape
1564,800,576,landscape
