"s","val1","val2","val3","val4","val5","val6","val7"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","1"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","20226467"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","26390"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","7201 DN"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","Nederland"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","Zutphen"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","systeemkaart, Adlib priref F&D 26390, 20226467"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","1","'s Gravenhof"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","1","1"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","1","20226467"
"http://data.collectienederland.nl/resource/document/rce-beeldbank/837866ec-3f22-11e4-9dc7-3b4bf4a0ed46-a14504d7-53db-b980-a7ad-a0766c05e673","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","'s Gravenhof","1","26390"
