Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2743493;Zwijndrecht;Zwijndrecht;Zuindracum,Zvayndrext,Zvejndrekht,Zvejndrekhte,Zwijndrecht,ci wei en de lei he te,zfayndrykht,Звейндрехт,Звейндрехте,Զվայնդրեխտ,زفايندريخت,兹韦恩德雷赫特;P;PPL;NL;Netherlands;;11;0642;;;45696;;0;Europe/Amsterdam;2017-10-17;Netherlands;51.8175,4.63333
2743977;Zeist;Zeist;Seist,Zajst,Zeist,Zejst,Zeyst,jeiseuteu,zai si te,zaisuto,zayst,Зајст,Зейст,Զեյստ,زايست,زایست,ザイスト,宰斯特,제이스트;P;PPL;NL;Netherlands;;09;0355;;;60949;;5;Europe/Amsterdam;2017-10-17;Netherlands;52.09,5.23333
2744116;Zaandijk;Zaandijk;zan dai ke,zand jk,زاند جک,赞代克;P;PPL;NL;Netherlands;;07;0479;;;9040;;-1;Europe/Amsterdam;2022-07-06;Netherlands;52.47494,4.80686
2744257;Woensdrecht;Woensdrecht;Vonsdrekht,Woensdrecht,Вонсдрехт;P;PPL;NL;Netherlands;;06;0873;;;1340;;7;Europe/Amsterdam;2017-10-17;Netherlands;51.42897,4.30355
2744741;Westerhaar-Vriezenveensewijk;Westerhaar-Vriezenveensewijk;Westerhaar;P;PPL;NL;Netherlands;;15;1700;;;4470;;12;Europe/Amsterdam;2017-10-17;Netherlands;52.45583,6.62361
2745024;Warffum;Warffum;Warfum;P;PPL;NL;Netherlands;;04;1966;;;1950;;1;Europe/Amsterdam;2019-01-20;Netherlands;53.3925,6.55833
2745189;Vries;Vries;;P;PPL;NL;Netherlands;;01;1730;;;3915;;8;Europe/Amsterdam;2017-10-17;Netherlands;53.07417,6.57778
2745673;Velsen-Zuid;Velsen-Zuid;Velsen,Velzen;P;PPL;NL;Netherlands;;07;0453;;;67758;;4;Europe/Amsterdam;2017-10-17;Netherlands;52.46,4.65
2745970;Uithuizen;Uithuizen;;P;PPL;NL;Netherlands;;04;1966;;;4935;;3;Europe/Amsterdam;2019-01-20;Netherlands;53.4075,6.67083
2746005;Uden;Uden;UDE,Uden,Уден;P;PPL;NL;Netherlands;;06;1991;;;34601;;18;Europe/Amsterdam;2022-09-30;Netherlands;51.66083,5.61944
2746060;Twello;Twello;;P;PPL;NL;Netherlands;;03;0285;;;13500;;7;Europe/Amsterdam;2017-10-17;Netherlands;52.23667,6.10278
2746424;Ternaard;Ternaard;Ternaard;P;PPL;NL;Netherlands;;02;1970;;;1165;;2;Europe/Amsterdam;2019-01-20;Netherlands;53.38203,5.96523
2746661;Stompetoren;Stompetoren;;P;PPL;NL;Netherlands;;07;0361;;;1920;;-1;Europe/Amsterdam;2017-10-17;Netherlands;52.61333,4.82083
2746747;Stein;Stein;;P;PPL;NL;Netherlands;;11;1931;;;1095;;0;Europe/Amsterdam;2017-03-24;Netherlands;52.00333,4.78194
2746766;Steenwijk;Steenwijk;Stienwyk,si teng wei ke,斯滕韋克;P;PPL;NL;Netherlands;;15;1708;;;17138;;7;Europe/Amsterdam;2017-10-17;Netherlands;52.7875,6.12083
2747117;Sluis;Sluis;Sljojs,Sluis,Слёйс;P;PPL;NL;Netherlands;;10;1714;;;1935;;6;Europe/Amsterdam;2019-01-14;Netherlands;51.30833,3.38611
2747210;Sint Willebrord;Sint Willebrord;Heike,St. Willebrord,Willebrord;P;PPL;NL;Netherlands;;06;0840;;;8655;;9;Europe/Amsterdam;2017-10-17;Netherlands;51.54833,4.58889
2747499;Schoonrewoerd;Schoonrewoerd;Schoonerwoerd;P;PPL;NL;Netherlands;;09;1961;;;1595;;3;Europe/Amsterdam;2019-01-20;Netherlands;51.92083,5.11667
2748361;Raamsdonksveer;Raamsdonksveer;Raamsdonkveer;P;PPL;NL;Netherlands;;06;0779;;;6590;;2;Europe/Amsterdam;2017-10-17;Netherlands;51.69667,4.87361
2748891;Oud-Vossemeer;Oud-Vossemeer;Oud Vosmeer;P;PPL;NL;Netherlands;;10;0716;;;2400;;0;Europe/Amsterdam;2017-10-17;Netherlands;51.57083,4.19861
2750995;Meijel;Meijel;Mael,Meiel;P;PPL;NL;Netherlands;;05;1894;;;5180;;37;Europe/Amsterdam;2017-10-17;Netherlands;51.34417,5.88472
2751449;Loosbroek;Loosbroek;;P;PPL;NL;Netherlands;;06;1721;;;1295;;8;Europe/Amsterdam;2017-10-17;Netherlands;51.67833,5.50694
2751641;Lienden;Lienden;;P;PPL;NL;Netherlands;;03;0214;;;3470;;8;Europe/Amsterdam;2017-10-17;Netherlands;51.94833,5.51806
