uri,type
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0269","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0267","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0266","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0258","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0250","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0249","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0247","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0245","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0116","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0056","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0050","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0049","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0041","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0038","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0035","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0029","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0024","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0022","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0017","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0011","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0007","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0005","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0004","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0272","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0270","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0264","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0251","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0246","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0122","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0119","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0059","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0053","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0051","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0040","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0018","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0016","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0002","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0265","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0259","beeld"
"http://data.collectienederland.nl/resource/document/moderne-kunst-museum-deventer/G0254","beeld"
