uri,type
"http://data.collectienederland.nl/resource/document/rijksakademie/0596","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0518","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0516","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0514","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0512","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0329","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0325","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0276","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0272","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0270","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0235","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0147","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0102","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0089","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0085","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0083","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0012","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0005","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0523","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0521","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0505","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0491","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0433","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0411","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0394","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0390","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0377","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0373","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0336","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0321","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0267","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0263","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0246","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0239","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0228","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0226","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0209","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0180","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0150","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0108","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0104","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0098","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0014","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/1692","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0539","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0536","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0522","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0508","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0424","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0415","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0404","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0392","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0383","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0375","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0356","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0340","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0334","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0323","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0312","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0307","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0294","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0291","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0283","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0269","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0266","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0255","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0250","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0220","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0219","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0217","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0214","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0211","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0206","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0196","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0190","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0182","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0179","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0171","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0165","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0157","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0146","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0138","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0122","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0121","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0092","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0065","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0057","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0053","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/6087","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0554","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0520","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0519","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0517","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0515","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0459","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0457","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0445","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0442","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0436","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0429","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0421","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0412","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0395","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0387","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0376","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0358","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0335","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0333","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0331","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0328","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0324","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0322","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0320","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0317","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0313","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0305","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0298","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0293","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0292","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0289","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0286","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0279","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0277","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0271","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0264","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0254","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0251","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0249","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0245","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0227","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0216","ets"
"http://data.collectienederland.nl/resource/document/rijksakademie/0215","ets"
