uri,type
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002037","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002334","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002332","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002320","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002319","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000895","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000314","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000030","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000017","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000014","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002342.1-3.1","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002329","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000555","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002340","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000897","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000038","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000026.1-2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000902","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000326","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/BS-00000116*","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002335","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002333","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000896","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000015","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000013.1-2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000903","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000900","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000882.1-2.1","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000034.1-2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002344","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002336","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002324","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000076","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000032.1-3","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002346","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002331","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002345","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002342.1-3-2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002326","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002323","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000092.1-2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00000071","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002017","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000894","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000850","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000098","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000024","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000344","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000043","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000031","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002330","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002259","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000899","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000042","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001397","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000924","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000349","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000245.1-2.2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000033","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000023.1-2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002328","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000901","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002342.1-3.3","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002313","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000097","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000022","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002347","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002338","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002327","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000923","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000019","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000011","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00000100","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000952","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000898","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000095","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0168","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001446","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0214","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0170","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0133.1-62","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0167","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0215","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0169","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0449","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0413","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0329","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0327","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0321","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0300.1-2","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0299","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0297","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0239","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0355","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0351","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0448","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0372","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0350","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0282","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0238","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0409","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0352","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0374","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0373","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0304","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0298","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0296.1-9","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0324","gouache"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0237","gouache"
