uri,type
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1389","textile, wood"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1391","textile, wood"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1528","textile, wood"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1665","textile, wood"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/691","textile, wood"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/690","textile, wood"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1389","textiel, hout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1391","textiel, hout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1528","textiel, hout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1665","textiel, hout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/691","textiel, hout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/690","textiel, hout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1387","latex on canvas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1387","latex op doek"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1385","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1383","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1381","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/104","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1386","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1384","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1382","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1380","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/103","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1512","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1835","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1836","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2094","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2396","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2397","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2398","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2972","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/399","gouache on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/398","gouache on paper"
