"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-bs606","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-bs701","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-bs702","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-bs703","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-bs704","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s1","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s101","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s104","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s108","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s109","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s11","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s110","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s111","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s112","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s113","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s117","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s118","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s120","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s121","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s122","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s125","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s126","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s128","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s132","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s133","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s135","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s139","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s140","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s141","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s142","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s143","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s144","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s145","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/catharijneconvent/ABM-s146","onbekend","onbekend",""
