"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/rijksakademie/0934","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0936","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0937","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0938","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1096","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1485","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/4031","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/4033","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/4098","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/5685","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/6346","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/7144","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/7145","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/7146","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/7147","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/7148","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8173","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8177","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8178","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8179","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8196","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8197","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8198","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8199","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8200","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8201","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8202","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8203","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8204","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8205","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/S156","onbekend","onbekend",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8041","Hubert Levigne","Hubert Levigne","https://data.rkd.nl/artists/49754"
"http://data.collectienederland.nl/resource/document/rijksakademie/8086","Hubert Levigne","Hubert Levigne","https://data.rkd.nl/artists/49754"
"http://data.collectienederland.nl/resource/document/rijksakademie/1092","Willem B. Tholen","Willem B. Tholen",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1081","Marie Cremers","Marie Cremers","https://data.rkd.nl/artists/19049"
"http://data.collectienederland.nl/resource/document/rijksakademie/0927","Willem Matthijs Maris Jbzn.","Willem Matthijs Maris Jbzn.","https://data.rkd.nl/artists/52685"
"http://data.collectienederland.nl/resource/document/rijksakademie/0753","Ro Mogendorff","Ro Mogendorff","https://data.rkd.nl/artists/56546"
"http://data.collectienederland.nl/resource/document/rijksakademie/0719","Jaap (Jacob) Bouhuys","Jaap (Jacob) Bouhuys",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8213","Jaap (Jacob) Bouhuys","Jaap (Jacob) Bouhuys",""
"http://data.collectienederland.nl/resource/document/rijksakademie/8214","Jaap (Jacob) Bouhuys","Jaap (Jacob) Bouhuys",""
"http://data.collectienederland.nl/resource/document/rijksakademie/9561","Jaap (Jacob) Bouhuys","Jaap (Jacob) Bouhuys",""
"http://data.collectienederland.nl/resource/document/rijksakademie/9560","Derk Broos","Derk Broos","https://data.rkd.nl/artists/13000"
