"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00000429","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001423","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001424","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001426","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001428","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001431","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001432","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000108","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000110","Corneille","Corneille","https://data.rkd.nl/artists/18369"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000094","Golden, Daan van","Golden, Daan van","https://data.rkd.nl/artists/32469"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00000205","Toorop, Jan","Toorop, Jan","https://data.rkd.nl/artists/77873"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000012","Appel, Karel","Appel, Karel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000016","Appel, Karel","Appel, Karel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000028.1-2","Appel, Karel","Appel, Karel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000035","Appel, Karel","Appel, Karel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001382","Elburg, Jan","Elburg, Jan","https://data.rkd.nl/artists/25906"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001446","Rooskens, Anton","Rooskens, Anton","https://data.rkd.nl/artists/68112"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001453","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001455","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001456","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001462","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001464","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001480","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001481","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001527*","Lucebert","Lucebert","https://data.rkd.nl/artists/51181"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000458","Couzijn, Wessel","Couzijn, Wessel","https://data.rkd.nl/artists/18831"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/O-00000106","Armando","Armando","https://data.rkd.nl/artists/2458"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000812","Merendonk, Jos van","Merendonk, Jos van","https://data.rkd.nl/artists/55350"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001718","Schoonhoven, Jan","Schoonhoven, Jan","https://data.rkd.nl/artists/70999"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00001719","Schoonhoven, Jan","Schoonhoven, Jan","https://data.rkd.nl/artists/70999"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000800.1-2.1","Berghuis, Jaap","Berghuis, Jaap","https://data.rkd.nl/artists/7205"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000800.1-2.2","Berghuis, Jaap","Berghuis, Jaap","https://data.rkd.nl/artists/7205"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00002416","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/G-00002579","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002018","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002022","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002023","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002028","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
