type,uri
gouaches (paintings),http://vocab.getty.edu/aat/300078928
olieverfschilderij,
paintings (visual works),http://vocab.getty.edu/aat/300033618
sculpture (visual works),http://vocab.getty.edu/aat/300047090
artists' books (books),http://vocab.getty.edu/aat/300123016
collages (visual works),http://vocab.getty.edu/aat/300033963
aquarelles (paintings),http://vocab.getty.edu/aat/300404216
tokens (exchange media),http://vocab.getty.edu/aat/300037334
labels (identifying artifacts),http://vocab.getty.edu/aat/300028730
national bank notes,http://vocab.getty.edu/aat/300193455
marktbericht,
balance (composition concept),http://vocab.getty.edu/aat/300056247
convocations,http://vocab.getty.edu/aat/300069092
contracts,http://vocab.getty.edu/aat/300027649
deeds,http://vocab.getty.edu/aat/300027249
jackboots,http://vocab.getty.edu/aat/300210034
cups (drinking vessels),http://vocab.getty.edu/aat/300043202
soup tureens,http://vocab.getty.edu/aat/300216964
ontbijtbord,
flesh forks,http://vocab.getty.edu/aat/300200171
knapsacks,http://vocab.getty.edu/aat/300046216
muismat,
trays,http://vocab.getty.edu/aat/300043071
balpoint,
reverspin,
sacks (generic containers),http://vocab.getty.edu/aat/300312364
cups (drinking vessels),http://vocab.getty.edu/aat/300043202
standing cups,http://vocab.getty.edu/aat/300195548
chests (case furniture),http://vocab.getty.edu/aat/300038992
naamlijst,
gildevoorwerp[fragment],
clappers (idiophones),http://vocab.getty.edu/aat/300191301
touwwinder,
hond[circusset],
matrices (copper molds),http://vocab.getty.edu/aat/300266816
arreslee,
bayonets,http://vocab.getty.edu/aat/300036990
machetes (knives),http://vocab.getty.edu/aat/300024363
rifles (long guns),http://vocab.getty.edu/aat/300037181
pantaloons,http://vocab.getty.edu/aat/300046184
portefeuille,
signboards,http://vocab.getty.edu/aat/300207704
hall stands,http://vocab.getty.edu/aat/300079639
medals,http://vocab.getty.edu/aat/300046025
forks (flatware),http://vocab.getty.edu/aat/300043099
spoons,http://vocab.getty.edu/aat/300043149
partesaan,
drawings (visual works),http://vocab.getty.edu/aat/300033973
kleurenlithografie,
screen prints,http://vocab.getty.edu/aat/300178688
calendars (documents),http://vocab.getty.edu/aat/300026741
lithographs,http://vocab.getty.edu/aat/300041379
color photographs,http://vocab.getty.edu/aat/300128359
doorknobs,http://vocab.getty.edu/aat/300176901
gable stones,http://vocab.getty.edu/aat/300411529
transom windows,http://vocab.getty.edu/aat/300003080
sundials,http://vocab.getty.edu/aat/300041614
pen and ink drawings,http://vocab.getty.edu/aat/300404676
letters (correspondence),http://vocab.getty.edu/aat/300026879
envelopes,http://vocab.getty.edu/aat/300197601
stofontwerp,
books,http://vocab.getty.edu/aat/300028051
